tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
51754,AFG,UK,2009,,2,,2010,AID,Mi-8MT/Mi-17,AC,transport helicopter,L,2,,2010,Afghanistan,United Kingdom,S,2.7,5.4,5.4
40035,ALG,UK,2007,,6,,2011,N/A,AW101,AC,transport helicopter,L,6,X,2010-2011,Algeria,United Kingdom,N,12.5,75,75
40034,ALG,UK,2007,,4,,2012,N/A,Super Lynx,AC,helicopter,L,4,,2010-2012,Algeria,United Kingdom,N,4.75,19,19
55003,ALG,UK,2012,,6,,2016,N/A,Super Lynx,AC,ASW helicopter,,6,X,2015-2016,Algeria,United Kingdom,N,12.5,75,75
61757,ANG,UK,2015,X,1,X,2017,N/A,Seaspray,GR,MP aircraft radar,L,1,,2017,Angola,United Kingdom,N,2,2,2
65255,AUS,UK,2021,,33,X,0,N/A,Adour,EN,turbofan,L,,,,Australia,United Kingdom,N,1.3,42.9,0
53607,AUS,UK,2004,,5,,2012,VIA,air refuel system,OT,air refuel system,L,5,X,2011-2012,Australia,United Kingdom,N,10,50,50
58884,AUS,UK,2015,,2,,2019,N/A,air refuel system,OT,air refuel system,L,2,,2018-2019,Australia,United Kingdom,N,10,20,20
56617,AUS,UK,2011,X,20,X,2012,N/A,ASRAAM,MI,BVRAAM,L,20,,2012,Australia,United Kingdom,N,0.18,3.6,3.6
64515,AUS,UK,2017,,1,,2017,N/A,AW139,AC,helicopter,L,1,,2017,Australia,United Kingdom,S,2.4,2.4,2.4
53033,AUS,UK,2011,,1,,2011,N/A,Enforcer,SH,AALS,L,1,,2011,Australia,United Kingdom,S,40,40,40
51630,AUS,UK,2018,,9,,0,LIC,Hunter,SH,frigate,L,,,,Australia,United Kingdom,N,0,0,0
50364,AUS,UK,2010,X,35,,2012,N/A,UFH/M-777 155mm,AR,towed gun,L,35,,2012,Australia,United Kingdom,N,1,35,35
55185,AUS,UK,2012,,19,,2015,N/A,UFH/M-777 155mm,AR,towed gun,L,19,X,2014-2015,Australia,United Kingdom,N,1,19,19
65765,AUS,UK,2022,X,6,,0,N/A,Unidentified sonar,GR,SONAR,L,,,,Australia,United Kingdom,N,0,0,0
61304,BAH,UK,2017,,2,,2018,N/A,C-130J Hercules,AC,transport aircraft,L,2,X,2018,Bahrain,United Kingdom,S,16,32,32
63750,BAH,UK,2020,,1,,2020,N/A,River Batch-1,SH,OPV,,1,,2020,Bahrain,United Kingdom,S,15.2,15.2,15.2
61405,BAN,UK,2018,,2,,2019,N/A,C-130J Hercules,AC,transport aircraft,L,2,X,2019,Bangladesh,United Kingdom,S,16,32,32
62855,BAN,UK,2019,,3,,0,N/A,C-130J Hercules,AC,transport aircraft,L,2,X,2020-2022,Bangladesh,United Kingdom,S,16,48,32
51903,BAN,UK,2010,,2,,2010,N/A,Castle,SH,OPV,L,2,,2010,Bangladesh,United Kingdom,S,11.6,23.2,23.2
61317,BAN,UK,2017,,2,,2022,N/A,Seaspray,GR,MP aircraft radar,L,2,,2021-2022,Bangladesh,United Kingdom,N,2,4,4
63196,BOL,UK,2016,,1,,2019,N/A,Star-NG,GR,air search radar,,1,,2019,Bolivia,United Kingdom,N,8,8,8
63595,BRA,UK,2019,X,1,,2020,N/A,Adams Challenge,SH,support ship,,1,,2020,Brazil,United Kingdom,S,10,10,10
53909,BRA,UK,2012,,0,,0,N/A,air refuel system,OT,air refuel system,L,,,,Brazil,United Kingdom,N,10,0,0
58113,BRA,UK,2021,X,,,0,N/A,CAMM,MI,SAM,L,,,,Brazil,United Kingdom,N,0.35,0,0
58112,BRA,UK,2021,X,4,X,0,N/A,CAMM(M) VLS,NW,naval SAM system,,,,,Brazil,United Kingdom,N,0,0,0
62750,BRA,UK,2019,,100,,0,N/A,Meteor,MI,BVRAAM,L,10,X,2021,Brazil,United Kingdom,N,0.8,80,8
60792,BRA,UK,2018,,1,,2018,N/A,Ocean,SH,AALS,L,1,,2018,Brazil,United Kingdom,S,136,136,136
56935,BRA,UK,2015,,36,X,0,VIA,Raven ES-05,GR,combat aircraft radar,L,5,,2020-2021,Brazil,United Kingdom,N,2.5,90,12.5
50952,BRA,UK,2008,,1,,2009,N/A,Round Table,SH,landing ship,L,1,,2009,Brazil,United Kingdom,S,20,20,20
