tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
54430,AFG,RUS,2013,,12,,2013,N/A,Mi-8MT/Mi-17,AC,transport helicopter,L,12,,2013,Afghanistan,Russia,N,6.75,81,81
56589,AFG,RUS,2013,,30,,2014,N/A,Mi-8MT/Mi-17,AC,transport helicopter,L,30,,2014,Afghanistan,Russia,N,6.75,202.5,202.5
62381,ALG,RUS,2014,X,40,X,2018,N/A,53-65,MI,anti-ship torpedo,L,40,X,2018,Algeria,Russia,N,1.1,44,44
38428,ALG,RUS,2006,X,900,X,2016,N/A,57E6,MI,SAM,,900,X,2012-2016,Algeria,Russia,N,0.25,225,225
39939,ALG,RUS,2006,X,38,X,2016,N/A,96K9 Pantsyr-S1,AD,self-propelled AD system,L,38,X,2012-2016,Algeria,Russia,N,11,418,418
60230,ALG,RUS,2013,,1000,X,2018,N/A,9M120 Ataka,MI,anti-tank missile,L,1000,X,2016-2018,Algeria,Russia,N,0.04,40,40
64282,ALG,RUS,2016,X,1500,X,2020,N/A,9M120 Ataka,MI,anti-tank missile,L,1500,X,2020,Algeria,Russia,N,0.04,60,60
60691,ALG,RUS,2013,X,100,X,2017,N/A,9M317,MI,SAM,L,100,X,2017,Algeria,Russia,N,0.25,25,25
61462,ALG,RUS,2013,X,75,X,2017,N/A,9M723 Iskander,MI,SSM,L,75,X,2017,Algeria,Russia,N,3,225,225
61507,ALG,RUS,2013,X,12,X,2017,N/A,9P78 Iskander,AR,SSM TEL,,12,X,2017,Algeria,Russia,N,1,12,12
58754,ALG,RUS,2014,X,360,,2017,N/A,Berezhok,OT,IFV turret,,360,X,2015-2017,Algeria,Russia,N,0.6,216,216
65149,ALG,RUS,2020,X,,,0,N/A,Berezhok,OT,IFV turret,,20,X,2022,Algeria,Russia,N,0.6,0,12
61268,ALG,RUS,2016,X,120,X,2020,N/A,BMPT Terminator,AV,AFSV,L,120,X,2020,Algeria,Russia,N,2.6,312,312
61026,ALG,RUS,2013,X,1,X,2017,N/A,Buk-M2,AD,SAM system,L,1,X,2017,Algeria,Russia,N,60,60,60
57344,ALG,RUS,2006,X,5,X,2016,N/A,Kasta-2E2,GR,air search radar,L,5,X,2012-2016,Algeria,Russia,N,9,45,45
53914,ALG,RUS,2009,X,30,X,2013,N/A,Kh-35,MI,anti-ship missile,L,30,X,2011-2013,Algeria,Russia,N,0.9,27,27
58753,ALG,RUS,2014,X,4500,X,2017,N/A,Kornet,MI,anti-tank missile,L,4500,X,2015-2017,Algeria,Russia,N,0.04,180,180
65750,ALG,RUS,2020,,,,0,N/A,Kornet,MI,anti-tank missile,L,200,X,2022,Algeria,Russia,N,0.04,0,8
38427,ALG,RUS,2006,X,500,X,2013,N/A,Metis-M,MI,anti-tank missile,L,500,X,2009-2013,Algeria,Russia,N,0.02,10,10
54930,ALG,RUS,2013,,6,,2015,N/A,Mi-26,AC,transport helicopter,L,6,,2015,Algeria,Russia,N,28,168,168
59012,ALG,RUS,2015,,8,,2017,N/A,Mi-26,AC,transport helicopter,L,8,,2017,Algeria,Russia,N,28,224,224
39840,ALG,RUS,2013,,42,,2018,N/A,Mi-28N,AC,combat helicopter,L,42,X,2016-2018,Algeria,Russia,N,15.5,651,651
62199,ALG,RUS,2019,X,14,,0,N/A,MiG-29M,AC,FGA aircraft,,8,X,2020-2021,Algeria,Russia,N,37.5,525,300
57167,ALG,RUS,2014,,2,,2018,N/A,Project-636E,SH,submarine,L,2,,2018,Algeria,Russia,N,260,520,520
59071,ALG,RUS,2015,,14,,2018,N/A,Su-30MK,AC,FGA aircraft,L,14,X,2016-2018,Algeria,Russia,N,55,770,770
62947,ALG,RUS,2019,X,16,X,0,N/A,Su-30MK,AC,FGA aircraft,L,,,,Algeria,Russia,N,55,880,0
54520,ALG,RUS,2011,,120,X,2014,N/A,T-90S,AV,tank,L,120,X,2012-2014,Algeria,Russia,N,4,480,480
58745,ALG,RUS,2014,X,203,X,2016,ASS,T-90S,AV,tank,L,203,X,2015-2016,Algeria,Russia,N,4,812,812
55428,ALG,RUS,2007,X,20,X,2013,N/A,TEST-71,MI,anti-ship/ASW torpedo,L,20,X,2011-2013,Algeria,Russia,N,1,20,20
62380,ALG,RUS,2014,X,40,X,2018,N/A,TEST-71,MI,anti-ship/ASW torpedo,L,40,X,2018,Algeria,Russia,N,1,40,40
59432,ALG,RUS,2015,,11,X,2017,N/A,Tigr,AV,APV,L,11,X,2016-2017,Algeria,Russia,N,0.15,1.65,1.65
61226,ALG,RUS,2015,X,4,X,2016,N/A,TOS-1,AR,self-propelled MRL,L,4,X,2016,Algeria,Russia,N,1.2,4.8,4.8
59854,ANG,RUS,2015,X,12,,2016,N/A,Mi-24P/Mi-35P,AC,combat helicopter,L,12,,2016,Angola,Russia,R,5.94,71.28,71.28
56584,ANG,RUS,2013,,8,X,2016,N/A,Mi-8MT/Mi-17,AC,transport helicopter,L,8,,2015-2016,Angola,Russia,N,6.75,54,54
56582,ANG,RUS,2013,,12,,2019,N/A,Su-30K,AC,FGA aircraft,L,12,,2017-2019,Angola,Russia,R,31.35,376.2,376.2
63208,ARM,RUS,2018,X,50,X,2019,N/A,9M338,MI,SAM,L,50,X,2019,Armenia,Russia,N,0.25,12.5,12.5
56113,ARM,RUS,2013,X,25,X,2016,N/A,9M723 Iskander,MI,SSM,L,25,X,2016,Armenia,Russia,N,3,75,75
60454,ARM,RUS,2013,X,4,X,2016,N/A,9P78 Iskander,AR,SSM TEL,,4,X,2016,Armenia,Russia,N,1,4,4
61009,ARM,RUS,2015,,6,X,2017,N/A,BM-9A52 Smerch,AR,self-propelled MRL,L,6,X,2016-2017,Armenia,Russia,N,1.2,7.2,7.2
58475,ARM,RUS,2012,X,200,X,2013,N/A,Igla-S,MI,portable SAM,L,200,X,2013,Armenia,Russia,N,0.08,16,16
60987,ARM,RUS,2015,,200,X,2016,N/A,Igla-S,MI,portable SAM,L,200,,2016,Armenia,Russia,N,0.08,16,16
61674,ARM,RUS,2017,X,100,X,2017,N/A,Kornet,MI,anti-tank missile,L,100,X,2017,Armenia,Russia,N,0.04,4,4
65217,ARM,RUS,2020,X,4,X,2022,N/A,Mi-8MT/Mi-17,AC,transport helicopter,L,4,,2022,Armenia,Russia,N,6.75,27,27
59556,ARM,RUS,2019,,4,,2019,N/A,Su-30K,AC,FGA aircraft,L,4,,2019,Armenia,Russia,N,47.5,190,190
61385,ARM,RUS,2014,,1,,2016,AID,T-90S,AV,tank,L,1,,2016,Armenia,Russia,N,4,4,4
61891,ARM,RUS,2018,X,2,X,2019,N/A,Tor-M1,AD,mobile SAM system,L,2,X,2019,Armenia,Russia,N,12.5,25,25
60988,ARM,RUS,2016,,200,X,2017,N/A,Verba,MI,portable SAM,,200,X,2016-2017,Armenia,Russia,N,0.09,18,18
56309,AZB,RUS,2011,X,18,,2014,N/A,2S19 MSTA-S 152mm,AR,self-propelled gun,L,18,X,2012-2014,Azerbaijan,Russia,N,1.75,31.5,31.5
56310,AZB,RUS,2011,X,18,X,2014,N/A,2S31 Vena,AR,self-propelled mortar,L,18,X,2012-2014,Azerbaijan,Russia,N,0.9,16.2,16.2
56398,AZB,RUS,2012,,100,X,2014,N/A,9M317,MI,SAM,L,100,X,2013-2014,Azerbaijan,Russia,N,0.25,25,25
58275,AZB,RUS,2012,,100,X,2014,N/A,9M38,MI,SAM,L,100,X,2013-2014,Azerbaijan,Russia,S,0.06,6,6
56616,AZB,RUS,2011,X,1000,X,2015,N/A,Bastion,MI,anti-tank missile,L,1000,X,2013-2015,Azerbaijan,Russia,N,0.02,20,20
53617,AZB,RUS,2011,X,18,X,2014,N/A,BM-9A52 Smerch,AR,self-propelled MRL,L,18,X,2012-2014,Azerbaijan,Russia,N,1.2,21.6,21.6
56307,AZB,RUS,2011,,118,X,2015,N/A,BMP-3,AV,IFV,L,118,X,2013-2015,Azerbaijan,Russia,N,1.45,171.1,171.1
60946,AZB,RUS,2013,X,76,X,2018,N/A,BTR-82A,AV,IFV,L,76,X,2017-2018,Azerbaijan,Russia,N,0.95,72.2,72.2
57158,AZB,RUS,2011,X,1000,X,2013,N/A,Igla-S,MI,portable SAM,L,1000,X,2012-2013,Azerbaijan,Russia,N,0.08,80,80
61065,AZB,RUS,2017,X,24,X,2018,N/A,Khrizantema,AV,tank destroyer,L,24,X,2017-2018,Azerbaijan,Russia,N,1.1,26.4,26.4
61066,AZB,RUS,2017,X,800,X,2018,N/A,Khrizantema,MI,anti-tank missile,L,800,X,2017-2018,Azerbaijan,Russia,N,0.07,56,56
